rank_index,time,class,failures,ranking,nfpa,failure_metric
0.12299152269900053,0.059000000000000004,0,0,3,0.8417299824663943,0
0.12299152269900053,0.012,0,0,9,0.8417299824663943,0
0.12299152269900053,0.0,1,0,29,0.8417299824663943,0
0.12299152269900053,0.006999999999999999,0,0,14,0.8417299824663943,0
0.12299152269900053,0.0,1,0,25,0.8417299824663943,0
0.0,0.01,0,0,11,0.8417299824663943,0
0.0,0.011000000000000001,0,0,10,0.8417299824663943,0
0.0,0.009000000000000001,0,0,12,0.8417299824663943,0
0.0,0.003,0,0,16,0.8417299824663943,0
0.0,0.024,0,0,6,0.8417299824663943,0
0.0,0.0,1,0,23,0.8417299824663943,0
0.0,0.045,0,0,4,0.8417299824663943,0
0.0,0.0,1,0,24,0.8417299824663943,0
0.0,0.146,0,0,1,0.8417299824663943,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
1.2693338922117443,0.001,1,0,24,0.8449572206378014,0
1.2693338922117443,0.001,1,0,23,0.8449572206378014,0
0.9998747709464032,0.0,1,0,27,0.8449572206378014,0
0.629167289578401,0.001,1,0,17,0.8449572206378014,0
0.44023709512674536,0.001,1,0,20,0.8449572206378014,0
0.3707074813680025,0.001,1,0,18,0.8449572206378014,0
0.3707074813680025,0.006,0,0,9,0.8449572206378014,0
0.3707074813680025,0.006,0,0,10,0.8449572206378014,0
0.3707074813680025,0.001,1,0,16,0.8449572206378014,0
0.3707074813680025,0.009000000000000001,0,0,7,0.8449572206378014,0
0.3707074813680025,0.001,1,0,19,0.8449572206378014,0
0.3707074813680025,0.0,1,0,25,0.8449572206378014,0
0.3508565694495952,0.002,0,0,12,0.8449572206378014,0
0.12299152269900053,0.001,1,0,21,0.8449572206378014,0
0.12299152269900053,0.04,0,0,3,0.8449572206378014,0
0.12299152269900053,0.002,0,0,13,0.8449572206378014,0
0.12299152269900053,0.006,0,0,11,0.8449572206378014,0
0.12299152269900053,0.1,0,0,2,0.8449572206378014,0
0.12299152269900053,0.0,1,0,28,0.8449572206378014,0
0.0,0.017,0,0,6,0.8449572206378014,0
0.0,0.034,0,0,4,0.8449572206378014,0
0.0,0.018000000000000002,0,0,5,0.8449572206378014,0
0.0,0.002,0,0,14,0.8449572206378014,0
0.0,0.008,0,0,8,0.8449572206378014,0
0.0,0.002,0,0,15,0.8449572206378014,0
0.0,0.001,1,0,22,0.8449572206378014,0
0.0,0.0,1,0,26,0.8449572206378014,0
0.0,0.133,0,0,1,0.8449572206378014,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
1.2693338922117443,0.001,1,0,17,0.852994555353902,0
1.2693338922117443,0.0,1,0,23,0.852994555353902,0
0.9998747709464032,0.001,1,0,16,0.852994555353902,0
0.629167289578401,0.0,1,0,22,0.852994555353902,0
0.44023709512674536,0.001,1,0,18,0.852994555353902,0
0.3707074813680025,0.002,0,0,13,0.852994555353902,0
0.3707074813680025,0.006,0,0,10,0.852994555353902,0
0.3707074813680025,0.0,1,0,25,0.852994555353902,0
0.3707074813680025,0.0,1,0,24,0.852994555353902,0
0.3707074813680025,0.001,1,0,20,0.852994555353902,0
0.3707074813680025,0.006,0,0,11,0.852994555353902,0
0.3707074813680025,0.002,0,0,15,0.852994555353902,0
0.3508565694495952,0.0,1,0,21,0.852994555353902,0
0.12299152269900053,0.003,0,0,12,0.852994555353902,0
0.12299152269900053,0.0,1,0,28,0.852994555353902,0
0.12299152269900053,0.05,0,0,3,0.852994555353902,0
0.12299152269900053,0.065,0,0,2,0.852994555353902,0
0.12299152269900053,0.0,1,0,26,0.852994555353902,0
0.12299152269900053,0.011000000000000001,0,0,7,0.852994555353902,0
0.0,0.022000000000000002,0,0,6,0.852994555353902,0
0.0,0.027000000000000003,0,0,4,0.852994555353902,0
0.0,0.024,0,0,5,0.852994555353902,0
0.0,0.002,0,0,14,0.852994555353902,0
0.0,0.01,0,0,8,0.852994555353902,0
0.0,0.006999999999999999,0,0,9,0.852994555353902,0
0.0,0.0,1,0,27,0.852994555353902,0
0.0,0.001,1,0,19,0.852994555353902,0
0.0,0.11199999999999999,0,0,1,0.852994555353902,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
1.2693338922117443,0.001,1,0,20,0.8378725891291645,0
1.2693338922117443,0.0,1,0,26,0.8378725891291645,0
0.9998747709464032,0.001,1,0,14,0.8378725891291645,0
0.6784221448217498,0.005,0,0,11,0.8378725891291645,0
0.629167289578401,0.0,1,0,28,0.8378725891291645,0
0.44023709512674536,0.001,1,0,15,0.8378725891291645,0
0.3707074813680025,0.001,1,0,17,0.8378725891291645,0
0.3707074813680025,0.013000000000000001,0,0,7,0.8378725891291645,0
0.3707074813680025,0.001,1,0,19,0.8378725891291645,0
0.3707074813680025,0.001,1,0,21,0.8378725891291645,0
0.3707074813680025,0.003,0,0,12,0.8378725891291645,0
0.3707074813680025,0.0,1,0,27,0.8378725891291645,0
0.3707074813680025,0.002,0,0,13,0.8378725891291645,0
0.3508565694495952,0.0,1,0,22,0.8378725891291645,0
0.12299152269900053,0.024,0,0,6,0.8378725891291645,0
0.12299152269900053,0.046,0,0,3,0.8378725891291645,0
0.12299152269900053,0.087,0,0,2,0.8378725891291645,0
0.12299152269900053,0.0,1,0,29,0.8378725891291645,0
0.12299152269900053,0.001,1,0,18,0.8378725891291645,0
0.12299152269900053,0.0,1,0,25,0.8378725891291645,0
0.0,0.001,1,0,16,0.8378725891291645,0
0.0,0.006999999999999999,0,0,10,0.8378725891291645,0
0.0,0.01,0,0,9,0.8378725891291645,0
0.0,0.013000000000000001,0,0,8,0.8378725891291645,0
0.0,0.0,1,0,23,0.8378725891291645,0
0.0,0.026000000000000002,0,0,5,0.8378725891291645,0
0.0,0.032,0,0,4,0.8378725891291645,0
0.0,0.0,1,0,24,0.8378725891291645,0
0.0,0.10099999999999999,0,0,1,0.8378725891291645,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.3707074813680025,0.027999999999999997,0,0,4,0.9560439560439562,0
0.12299152269900053,0.0,1,0,6,0.9560439560439562,0
0.12299152269900053,0.001,1,0,5,0.9560439560439562,0
0.12299152269900053,0.049,0,0,2,0.9560439560439562,0
0.0,0.036000000000000004,0,0,3,0.9560439560439562,0
0.0,0.115,0,0,1,0.9560439560439562,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.3707074813680025,0.022000000000000002,0,0,4,0.9500000000000001,0
0.12299152269900053,0.0,1,0,7,0.9500000000000001,0
0.12299152269900053,0.0,1,0,6,0.9500000000000001,0
0.12299152269900053,0.006,0,0,5,0.9500000000000001,0
0.12299152269900053,0.039,0,0,2,0.9500000000000001,0
0.0,0.028999999999999998,0,0,3,0.9500000000000001,0
0.0,0.114,0,0,1,0.9500000000000001,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
1.3185887474550932,0.0,1,0,28,0.8409090909090909,0
1.3185887474550932,0.001,1,0,22,0.8409090909090909,0
1.0491296261897518,0.0,1,0,29,0.8409090909090909,0
0.6784221448217498,0.003,0,0,16,0.8409090909090909,0
0.6784221448217498,0.0,1,0,31,0.8409090909090909,0
0.4894919503700943,0.002,0,0,19,0.8409090909090909,0
0.4199623366113514,0.003,0,0,17,0.8409090909090909,0
0.4199623366113514,0.0,1,0,30,0.8409090909090909,0
0.4199623366113514,0.01,0,0,12,0.8409090909090909,0
0.4199623366113514,0.001,1,0,24,0.8409090909090909,0
