rank_index,time,class,failures,ranking,nfpa,DDP
-3.2498950958251958,0.0,1,0.0,143,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.002,0,0.0,63,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.001,1,0.0,76,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.001,1,0.0,74,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.003,0,0.0,53,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.0,1,0.0,129,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.001,1,0.0,75,0.8828316128316126,0.08337131434282859
-3.257049560546875,0.002,0,0.0,59,0.8828316128316126,0.08337131434282859
-3.257049560546875,0.002,0,0.0,58,0.8828316128316126,0.08337131434282859
-3.257049560546875,0.002,0,0.0,56,0.8828316128316126,0.08337131434282859
-3.257049560546875,0.0,1,0.0,141,0.8828316128316126,0.08337131434282859
-3.257049560546875,0.008,0,0.0,29,0.8828316128316126,0.08337131434282859
-3.257049560546875,0.002,0,0.0,66,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.035,0,0.0,8,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.013,0,0.0,18,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.005,0,0.0,38,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.028,0,0.0,10,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.011,0,0.0,22,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.0,1,0.0,130,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.001,1,0.0,80,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.02,0,0.0,13,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.008,0,0.0,28,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.006,0,0.0,31,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.006,0,0.0,32,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.001,1,0.0,81,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.051,0,0.0,5,0.8828316128316126,0.08337131434282859
-3.2876155376434326,0.399,2,1.0,152,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.001,1,0.0,68,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.027000000000000003,0,0.0,11,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.011,0,0.0,20,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.003,0,0.0,48,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.016,0,0.0,16,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.011,0,0.0,21,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.011,0,0.0,23,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.006999999999999999,0,0.0,30,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.005,0,0.0,34,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.005,0,0.0,35,0.8828316128316126,0.08337131434282859
-3.329158067703247,0.005,0,0.0,37,0.8828316128316126,0.08337131434282859
-3.3344438076019287,0.003,0,0.0,51,0.8828316128316126,0.08337131434282859
-3.3344438076019287,0.005,0,0.0,36,0.8828316128316126,0.08337131434282859
-3.349755048751831,0.009000000000000001,0,0.0,25,0.8828316128316126,0.08337131434282859
-3.37232518196106,0.021,0,0.0,12,0.8828316128316126,0.08337131434282859
-3.3961806297302246,0.0,1,0.0,108,0.8828316128316126,0.08337131434282859
-3.3961806297302246,0.001,1,0.0,69,0.8828316128316126,0.08337131434282859
rank_index,time,class,failures,ranking,nfpa,DDP
3.2963321208953857,0.001,3,1.0,94,0.9164435912476222,0.06355947261807456
3.2963321208953857,0.001,3,1.0,93,0.9164435912476222,0.06355947261807456
