priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.8692716927455734,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,12,0.775609756097561,0.3875
1.0,0.6354120203349737,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,16,0.775609756097561,0.3875
1.0,0.4909335781099492,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,14,0.775609756097561,0.3875
0.0,0.9969978651325674,0.002,0.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,5,0.775609756097561,0.3875
0.0,0.9958549447485675,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,10,0.775609756097561,0.3875
0.0,0.9946757214515668,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,8,0.775609756097561,0.3875
0.0,0.943845077387717,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,11,0.775609756097561,0.3875
0.0,0.9319179469713998,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,9,0.775609756097561,0.3875
0.0,0.9127650835179506,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,13,0.775609756097561,0.3875
0.0,0.8830336901212198,0.001,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,7,0.775609756097561,0.3875
0.0,0.7833358798244382,0.024,2.0,2,0.03508771929824561,3982ea1198b8d780b42587e16ace3407bf7621e1,19,0.775609756097561,0.3875
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.8917011115668159,0.04,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,3,0.6621848739495798,0.7058823529411765
1.0,0.8473585416006855,0.006,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,9,0.6621848739495798,0.7058823529411765
1.0,0.7697559698927192,0.073,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,1,0.6621848739495798,0.7058823529411765
1.0,0.7499941697147816,0.0,1.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,14,0.6621848739495798,0.7058823529411765
1.0,0.6448180129246865,0.002,1.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,12,0.6621848739495798,0.7058823529411765
1.0,0.5173394117749042,0.015,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,6,0.6621848739495798,0.7058823529411765
0.0,0.9990946247146635,0.006,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,7,0.6621848739495798,0.7058823529411765
0.0,0.9982650513322936,0.035,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,4,0.6621848739495798,0.7058823529411765
0.0,0.9889228376686352,0.002,1.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,11,0.6621848739495798,0.7058823529411765
0.0,0.9867964224412462,0.068,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,2,0.6621848739495798,0.7058823529411765
0.0,0.985849190149564,0.018000000000000002,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,5,0.6621848739495798,0.7058823529411765
0.0,0.9852783077859348,32.958,2.0,3,0.15,35407bb1557e2ee11e27cff552d561b3d83266ae,17,0.6621848739495798,0.7058823529411765
0.0,0.9537940268159862,0.0,1.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,15,0.6621848739495798,0.7058823529411765
0.0,0.9314324578497852,0.006,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,8,0.6621848739495798,0.7058823529411765
0.0,0.8357628997685037,0.004,0.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,10,0.6621848739495798,0.7058823529411765
0.0,0.8225374425032965,0.001,1.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,13,0.6621848739495798,0.7058823529411765
0.0,0.7593421187226523,0.0,1.0,0,0.0,35407bb1557e2ee11e27cff552d561b3d83266ae,16,0.6621848739495798,0.7058823529411765
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9990849344540991,0.0,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,15,0.7837837837837838,0.9444444444444444
1.0,0.946089570191695,0.005,0.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,7,0.7837837837837838,0.9444444444444444
1.0,0.8400864790586439,0.0,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,11,0.7837837837837838,0.9444444444444444
1.0,0.7932125873130644,0.006,0.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,5,0.7837837837837838,0.9444444444444444
1.0,0.7111652193740488,0.016,0.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,4,0.7837837837837838,0.9444444444444444
1.0,0.682105147646127,0.001,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,10,0.7837837837837838,0.9444444444444444
1.0,0.5044840647918004,0.0,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,16,0.7837837837837838,0.9444444444444444
0.0,0.999997030531505,0.0,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,13,0.7837837837837838,0.9444444444444444
0.0,0.9999667083323673,0.0,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,12,0.7837837837837838,0.9444444444444444
0.0,0.9978329754647857,0.0,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,14,0.7837837837837838,0.9444444444444444
0.0,0.9913293681791664,0.08199999999999999,0.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,2,0.7837837837837838,0.9444444444444444
0.0,0.9889129662045779,0.002,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,9,0.7837837837837838,0.9444444444444444
0.0,0.9851963328216804,0.10300000000000001,0.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,1,0.7837837837837838,0.9444444444444444
0.0,0.9800160789705639,0.005,0.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,6,0.7837837837837838,0.9444444444444444
0.0,0.7492446186403072,0.0,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,17,0.7837837837837838,0.9444444444444444
0.0,0.7077748276532829,0.003,1.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,8,0.7837837837837838,0.9444444444444444
0.0,0.6814600044212951,0.004,2.0,1,0.1111111111111111,af77fd3ffb2973f255419df9ef591df5f8a7409f,18,0.7837837837837838,0.9444444444444444
0.0,0.6412886626278794,0.017,0.0,0,0.0,af77fd3ffb2973f255419df9ef591df5f8a7409f,3,0.7837837837837838,0.9444444444444444
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
