test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/springframework/data/redis/connection/lettuce/LettuceReactiveNumberCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,12,0,0,0,0,0,0.0,0.0,0.001,0.0,1,1,1,1,4,0,3,0,1,0,0,6,6,6,0,6,0,0,0,6,64,13,33,18,8,24,13,20,12,8,1,1,1,1,0,0.73,6,6,6,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceClusterConnectionUnitTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,26,0,0,0,0,0,0.0,0.0,0.763,0.0,1,1,1,1,9,2,6,0,2,0,4,29,29,29,10,29,0,0,1,28,392,107,266,120,136,48,168,199,92,107,2,2,2,1,1,0.18,30,30,30,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceClusterConnectionTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,7,2,5,0,1,1,16,240,240,239,5,240,0,1,0,239,2444,749,1671,638,870,262,861,1110,365,745,3,3,3,1,1,0.16,247,247,247,240,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceConvertersUnitTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,12,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,8,1,7,0,1,0,1,12,12,12,0,12,0,0,0,12,181,39,124,61,63,31,84,97,49,48,1,1,1,1,0,0.25,12,12,12,12,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceSentinelConnectionUnitTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,15,0,0,0,0,0,0.0,0.0,0.057,0.0,1,1,1,1,4,0,3,0,1,0,1,16,16,16,5,16,0,0,0,16,157,34,104,58,31,34,53,70,41,29,1,1,1,1,0,0.33,16,16,16,16,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveClusterServerCommandsTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,15,0,0,0,0,0,0.0,0.0,0.015,0.0,1,1,1,1,6,0,5,1,1,0,3,21,21,15,0,15,0,0,0,15,187,37,131,47,72,56,48,66,29,37,2,2,2,1,1,0.43,22,22,22,21,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveClusterKeyCommandsTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,2,0,0,0,0,0,0.0,0.0,0.002,0.0,1,1,1,1,10,2,7,0,1,0,1,2,2,2,0,2,0,0,0,2,65,14,33,21,11,20,25,29,20,9,2,2,2,1,1,0.61,3,3,3,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/jedis/ScanTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,2,0,0,0,0,0,0.0,0.0,1.04,0.0,1,1,1,1,13,2,10,0,1,2,0,6,6,3,3,5,0,0,0,5,134,25,86,47,36,23,59,70,42,28,4,4,4,1,3,0.27,11,11,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/RedisTemplateTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,819,0,0,0,0,0,0.0,0.0,0.556,0.0,1,1,1,1,10,1,9,0,13,2,0,77,77,61,3,63,0,1,0,62,832,140,658,296,441,47,421,491,233,258,2,2,3,1,1,0.07,84,84,93,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/listener/PubSubResubscribeTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,16,3,10,1,3,4,1,14,14,9,8,13,0,1,0,12,328,70,213,94,127,46,163,180,83,97,2,2,2,1,1,0.22,16,16,16,14,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceConnectionFactoryTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,24,0,0,0,0,0,0.0,0.073,0.016,4.743783473968506,1,1,1,1,13,2,10,0,1,1,0,28,28,26,2,27,0,0,0,27,505,101,369,155,238,45,230,270,109,161,2,2,2,1,1,0.12,35,35,36,28,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceConnectionFactoryUnitTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,35,0,0,0,0,0,0.0,0.0,0.235,0.0,1,1,1,1,12,3,9,0,2,0,0,38,38,38,1,38,0,0,1,37,633,160,450,223,292,66,288,337,164,173,2,2,2,1,1,0.15,43,43,43,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/RedisClusterTemplateTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.002,0.0,1,1,1,1,10,1,8,1,1,1,2,16,16,15,0,16,0,0,0,16,269,48,197,101,106,38,112,130,68,62,2,2,2,1,1,0.19,17,17,17,16,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/DefaultReactiveHashOperationsIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,34,0,0,0,0,0,0.0,0.0,0.055,0.0,1,1,1,1,13,3,9,2,1,2,0,27,27,20,5,22,0,1,0,21,440,110,309,158,206,95,172,195,130,65,1,1,2,1,0,0.31,27,27,31,27,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/support/collections/RedisPropertiesTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,560,0,0,0,0,0,0.0,0.0,0.081,0.0,1,1,1,1,12,1,10,1,1,1,0,17,17,16,2,17,1,0,1,15,310,52,225,107,137,46,146,167,86,81,2,2,2,1,1,0.2,18,18,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/listener/SubscriptionConnectionTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,6,0,0,0,0,0,0.0,0.0,240.83900000000003,0.0,1,1,1,1,13,1,10,1,2,2,2,8,8,6,3,8,0,0,0,8,189,25,127,58,70,37,93,109,55,54,3,3,3,1,2,0.29,14,14,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/ReactiveStringRedisTemplateIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,5,1,4,0,1,1,1,4,4,2,1,3,0,0,0,3,66,13,33,21,10,21,20,24,17,7,1,1,1,1,0,0.64,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceSentinelIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.009000000000000001,0.0,1,1,1,1,14,3,10,0,1,2,7,12,12,10,1,12,0,0,0,12,266,62,180,89,106,33,114,133,70,63,2,2,2,1,1,0.18,13,13,13,12,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/script/DefaultReactiveScriptExecutorTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,16,0,0,0,0,0,0.0,0.0,0.17300000000000001,0.0,1,1,1,1,11,3,8,0,1,2,3,14,14,10,0,12,0,0,1,11,248,61,167,83,94,28,102,117,64,53,2,2,2,1,1,0.17,15,15,15,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/MultithreadedRedisTemplateTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,2,0,0,0,0,1,0.5,0.0,9.897,0.0,1,1,1,1,8,1,7,0,1,2,0,4,4,2,1,4,0,0,0,4,89,17,52,31,19,21,38,44,28,16,2,2,2,1,1,0.4,5,5,5,4,1.0,2.0,5.0,10.0,2.0,4.0,1.0
org/springframework/data/redis/support/collections/RedisMapTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,464,0,0,0,0,0,0.0,0.0,0.065,0.0,1,1,1,1,37,5,31,6,1,1,0,3,3,2,0,3,1,0,0,2,172,22,121,54,86,43,90,95,49,46,2,2,2,1,1,0.36,4,4,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceConnectionTransactionIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.1,0.0,1,1,1,1,13,1,11,0,1,0,0,2,2,2,0,2,0,0,0,2,71,8,39,19,17,24,24,29,15,14,2,2,2,1,1,0.62,3,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/listener/RedisMessageListenerContainerUnitTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.17600000000000002,0.0,1,1,1,1,11,2,8,0,2,0,0,5,5,3,7,3,0,0,0,3,102,22,59,27,32,22,46,50,25,25,1,1,1,1,0,0.37,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceConnectionPipelineIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.001,0.0,1,1,1,1,13,0,12,0,1,0,0,5,5,4,0,4,0,0,0,4,112,9,78,39,39,26,50,58,29,29,2,2,2,1,1,0.33,7,7,7,5,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceConnectionIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,14,0,12,1,1,0,0,18,18,16,1,16,0,0,0,16,339,35,262,104,168,45,178,202,76,126,2,2,2,1,1,0.17,24,24,24,18,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/RedisKeyValueTemplateTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,88,0,0,0,0,0,0.0,1.794,0.32,6.467647834618886,1,1,1,1,17,3,13,0,8,2,0,57,57,33,36,35,1,0,0,34,977,237,704,228,507,69,465,515,180,335,8,8,8,8,1,0.1,64,64,64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/core/RedisKeyValueAdapterTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,58,0,0,0,0,0,0.0,0.16,0.228,6.467497193813324,1,1,1,1,14,3,10,0,8,4,1,39,37,34,25,38,0,2,0,36,767,210,519,213,324,77,368,417,163,254,3,3,3,1,2,0.15,43,43,44,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/TransactionalLettuceIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,10,0,0,0,0,0,0.0,0.0,0.434,0.0,1,1,1,1,8,1,7,0,2,0,0,1,1,1,0,1,0,0,0,1,46,5,22,15,5,19,12,15,11,4,1,1,1,1,0,0.86,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/mapping/Jackson2HashMapperTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,2,0,0,0,0,0,0.0,0.0,0.001,0.0,1,1,1,1,7,1,6,0,1,2,0,5,5,3,3,5,0,0,0,5,101,18,62,39,20,22,43,50,34,16,2,2,2,1,1,0.35,6,6,6,5,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/listener/ReactiveRedisMessageListenerContainerIntegrationTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,10,0,0,0,0,0,0.0,0.0,0.025,0.0,1,1,1,1,8,1,6,1,1,3,3,20,20,8,2,11,0,1,0,10,213,44,145,66,79,48,74,89,52,37,3,3,3,1,2,0.33,23,23,23,20,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/core/script/lettuce/LettuceDefaultScriptExecutorTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,6,1,5,0,1,0,1,3,3,3,0,3,0,0,1,2,60,9,30,17,8,21,17,22,14,8,2,2,2,1,1,0.7,4,4,4,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceConnectionUnitTestSuite.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,24,0,0,0,0,0,0.0,0.0,1.187,0.0,1,1,1,1,6,1,5,0,3,0,0,21,21,21,5,21,0,0,0,21,244,56,169,84,64,38,89,115,58,57,2,2,2,1,1,0.22,23,23,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/AuthenticatingRedisClientTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,5,0,5,0,1,0,0,9,9,9,1,9,0,0,0,9,105,16,67,37,25,22,33,45,27,18,2,2,2,1,1,0.33,11,11,11,9,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveStringCommandsTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,76,0,0,0,0,0,0.0,0.077,0.016,4.7485612630844125,1,1,1,1,9,2,7,1,1,0,0,39,39,38,0,38,0,0,0,38,512,136,356,133,203,108,153,192,90,102,1,1,1,1,0,0.3,39,39,39,39,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveScriptingCommandsTests.java,eff0d29723a5e60759d5e0407fce10b162b8cac5,20,0,0,0,0,0,0.0,0.006,0.012,4.749167160193125,1,1,1,1,10,2,8,1,1,1,0,12,12,10,0,11,0,1,0,10,182,44,119,49,69,52,52,65,38,27,2,2,2,1,1,0.44,13,13,13,12,0.0,1.0,0.0,1.0,0.0,1.0,1.0
