priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
0.0,0.34855886585796475,0.087,1.0,0.0,0.0,520a90cd2d3da4461981c64168335956dee1ab70,14,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.0015940885972621742,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,58,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.003699272003562863,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,57,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.004453295626668483,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,56,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.007245176037240334,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,54,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.008107159065282749,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,53,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.008462035740564842,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,52,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.008586138497805505,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,51,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.008751538005460715,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,50,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.008948526789122342,3.0,1.0,0.2,520a90cd2d3da4461981c64168335956dee1ab70,49,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.08137866533939005,3.0,1.0,0.22800650369592995,520a90cd2d3da4461981c64168335956dee1ab70,45,0.8978065802592221,0.3813559322033897
0.0,0.33996816791253226,0.10766751854975526,3.0,1.0,0.23595268531618346,520a90cd2d3da4461981c64168335956dee1ab70,44,0.8978065802592221,0.3813559322033897
